,0,1
219,سحر این حرفایی ک الان میگن همشون راسته یا نه سحر خودت پاشو یه جوابی بده به ما خیاله مارو راحت کن غذیه چجوریاس,"""غیرتنفر"""
220,سحر گاز ورمه گاز ورمه,"""غیرتنفر"""
221,به تتلو دادی یا نه هنوز,"""تنفر"""
222,این ملت هر کسی را در صفحه تلویزیون می‌بینند احساس می‌کنند شخصیت مهمی می‌بینند احساس خود بزرگ بینی افراد حقیری مثل شما زاییده فکر ملتی که انگار از پشت کوه آمده‌اند در جامعه‌ای که بی سواد پروری بیداد کند بزرگترین منبع درآمد میشود جهل مردم,"""تنفر"""
223,چشمبد ازتون دور دوست داشتنی‌ها,"""غیرتنفر"""
224,واقعا برات متاسفم لاعقل پیش یکی میرفتی که سرش به تنش بیرضه هر چی نگاش میکنم شبیه یه خره کرایه‌ای هست این انتر چی داره خیلی لاش پالاشی,"""تنفر"""
225,اوخی پای پیشی چیشده داداچ ناخنهات رو جمعه بگیر,"""غیرتنفر"""
226,فردا پس فرداس که کلیپ ساک زدنت واسه تتلو بیاد بیرون,"""تنفر"""
227,تتلو رو بعد خدا دادیم تست تو,"""غیرتنفر"""
228,هرجا و با هرکسی هستی خوشبخت و سلامت باشی عزیزم,"""غیرتنفر"""
229,امام زمانی خیالی که میخواد منجی عالم بشریت بشه ولی نیاز به دعای منو وشما برای سلامتیش داره همون بهتر که ته چاه بمونه,"""تنفر"""
230,با تتلو ی عکس بظار ببین مردم دیگه,"""غیرتنفر"""
231,شما کتاب مرجع پزشکی رو اتیش نزنین سفر علمی بخوره تو سرتون,"""تنفر"""
232,خو کامنت‌ها رو خوندیم تمام الان برید دیگه,"""غیرتنفر"""
233,هزار دقیقه که خیلی کمه,"""غیرتنفر"""
234,سحر جان اگه هیچ کس از رفتنت خوشحال نباشه من از رفتنت خوشحالم و برات آرزوی موفقیت میکنم چون همینکه دیگه نیستی و نمیتونی فیلم بازی کنی خداروشکر میکنم آخه هر فیلمی توش بازی میکردی نمیتونستیم ببینیم حالمونو بهم میزد بخصوص کلوپ همسران که کلا بخاطرش چند روز تو بیمارستان بستری شدم,"""تنفر"""
235,ینی واسه حاشیه ساختن حاضرن گوه بزنن به زندگیشون واقعا چرا,"""تنفر"""
236,دوتا آدمین شما دوتا دل عاشق,"""غیرتنفر"""
237,خبر رسید امیر تتلو با سحر قریشی تیک زدن,"""غیرتنفر"""
238,تتلو میکنه و ول میکنه نمیدونم دلتونو به چی خوش میکنین,"""تنفر"""
239,عجب داستانهای داریم هر روز یکی با یکی دیگه رل میزنه مام بیکار بی آر میخونیمکامنت میزاریم کلا خوشیم دور هم,"""غیرتنفر"""
240,سحر با امیر تتلو هستی,"""غیرتنفر"""
241,چقدر شبیه دارا حیایی هست,"""غیرتنفر"""
242,همش برای افزایش بازدید یوتیوب,"""غیرتنفر"""
243,ی بار با فوتبالیست ی بار با خواننده گزینه بعدی کدوم بازیگره اعلام کن حداقل آمادگی داشته باشیم,"""تنفر"""
244,خوب پولای جمشیدقاسم پوروکشیدی بالارفتی پیش تتل,"""تنفر"""
245,لاشی چرا به یکتا ناصر خیانت کردی,"""تنفر"""
246,قشنگین همیشه قشنگ بمونین باهم,"""غیرتنفر"""
247,اما حیف تو نیس بری زن اون بشی,"""تنفر"""
248,خانم قریشی پایدار باشین و به حواشی توجه نکنید,"""غیرتنفر"""
249,عزیزم دستش چیشده این کوچولو,"""غیرتنفر"""
250,از ده میلیون فالور سیصد و چهل تا لایک خب معلومه که فیک هستی گلم,"""غیرتنفر"""
251,اقا تکلیف مارو معلوم کن زید تتلو هسی یا نه,"""غیرتنفر"""
252,تو هم اخرو عاقبتت مثل زهره فکور صبور و ازاده نامداری میشه حالا از ما گفتن بود بدبخت,"""تنفر"""
253,ملت غارت شده‌ی ایران اگر برنخیزیم و حق خویش نگیریم بزودی تمام ثروت توسط نظام فاسد و ظالم غارت خواهد شد,"""تنفر"""
254,ماشالله به سحر جون همه رو داری سرویس میدی خدا بهت قوت بده خانم عن آبروی هنر رو بردی تو,"""تنفر"""
255,ببخشید خانم قریشی حالا درسته آدم قحطی اومده ولی واقعا حیوونی بهتر از این جونور زشت که دوس ندارم اسمشو به زبون بیارم نبود,"""تنفر"""
256,بهتر که ندارم چون جنبه ش رو هم ندارن,"""تنفر"""
257,حیف هوایی که مومن نصب تنفس میکنه,"""تنفر"""
